name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Sri kesari medical ಶ್ರೀ ಕೇಸರಿ ಮೆಡಿಕಲ್ಸ್,"#6/1, Immadihalli Main Rd, opp. Hospital, near Mayura Bakery, Meersab Compound, Whitefield, Bengaluru, Karnataka 560066",,089710 05712,12.9781009,77.6989113,pharmacy,,
Harsha Medical & General Store,"Happy Valley, Whitefield, Bengaluru, Karnataka 560066",,095387 89004,12.9781009,77.6989113,pharmacy,,
sathya sai medicals,"XQH3+V97, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",,,12.9796725,77.7173582,pharmacy,,
Apollo Pharmacy Marathahalli,"ASV Complex, shop:123/3, behind ITPLwhitefield, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,091108 79871,12.9824467,77.6974715,pharmacy,,
Appianna Mane,"Shop No 01, 60 Feet Rd, AECS Layout, Marathahalli, Bengaluru, Karnataka 560037",apollopharmacy.in,080 2296 0459,12.960834,77.6811758,pharmacy,,
Apollo Pharmacy Thubarahalli,"XQJ6+PM5, A K Gopalan Colony, Channasandra, Bengaluru, Karnataka 560067",,,12.9817573,77.7256838,pharmacy,,
Sri Rama Medicals,"Sy No. 5/2, Ground Floor, Opp Shriram Samruddhi Apartments Near Kundanahalli Signal, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066",apollopharmacy.in,080 4124 5624,12.9549709,77.6811601,pharmacy,,
Aster Pharmacy - Varthur,"XQ73+MHV, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",,080 3252 5554,12.9642374,77.717874,pharmacy,,
Apollo Pharmacy Ayyappa Nagar,"68/1, Muthsandra Main Road, Khatha No: 1536, Municipal No: 132, Ward No:149 Varthur Village, Bengaluru, Karnataka 560087",varthur.asterpharmacy.in,080 4803 1322,12.9642374,77.717874,pharmacy,,
Medizone Pharma Whitefield,"Survey No 48/4, Site, 26, Hoodi Main Rd, Seetharampalya, Ayyappa Nagar, Bengaluru, Karnataka 560036",apollopharmacy.in,076249 54732,12.9874694,77.6732848,pharmacy,,
Netmeds Pharmacy,"Shop No 174/2, Vinayaka Nagar, Hagadur Main Rd, Whitefield, Bengaluru, Karnataka 560066",,094490 13837,12.9641622,77.7175818,pharmacy,,
Sekhar Medicals,"No 549/507, SMART Point, Immadihalli Main Rd, Nagondanahalli, Bengaluru, Karnataka 560066",netmeds.com,093245 03203,12.9641622,77.7175818,pharmacy,,
Pushpa Medicals,"XPCJ+2Q4, 2nd Main Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",,096404 70260,12.9700151,77.6958945,pharmacy,,
Apollo Pharmacy AECS Layout 2,"#284, Opp. Super Market, 30 Feet Main Road, near Bata Showroom, Whitefield, Bengaluru, Karnataka 560066",,,12.9700151,77.6958945,pharmacy,,
Apollo Pharmacy Varthur,"714, New No 713, SN 3, GF, Aecs Layout Kundana Halli, C Block, Hobli, Varthur Rd, Bengaluru, Karnataka 560037",apollopharmacy.in,080 4114 6510,12.9634932,77.6772705,pharmacy,,
Radha Medicals And Stores,"Shop No.1, GVR Square, Government PU College, Varthur, Varthur Rd, near Varthur, Bengaluru, Karnataka 560087",,091135 76154,12.942174,77.7110738,pharmacy,,
Apollo Pharmacy Munnekollal,"XP9X+95V, 3rd Cross Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.942174,77.7110738,pharmacy,,
National Pharma Centre,"No 48/49, Ground Floor, Marathahalli Main Rd, Raghavendra Layout, Gandhi Nagar, Munnekollal, Bengaluru, Karnataka 560037",apollopharmacy.in,080 4210 6462,12.9559044,77.6753285,pharmacy,,
Apollo Pharmacy Godrej Air Nxt,"Building, #274, Vijaya Bank, Whitefield Main Rd, next to Dominos Restaurant, Bengaluru, Karnataka 560066",linktr.ee,098869 96300,12.9683294,77.7134613,pharmacy,,
