name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
ICICI BANK ATM,"CHAITANYA ARMADALE, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9873679,77.7011734,bank,,
Axis Bank ATM,"Hindustan Unilever Ltd., Research Centre, 64, 1st Main Rd, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9873679,77.7011734,bank,,
IDFC FIRST Bank ATM,"Rmz Eco World, Outer Ring Rd, Devarabisanahalli, Marathahalli, Hobli, near Varthur, Bengaluru, Karnataka 560037",branch.axisbank.com,1860 419 5555,12.9917535,77.7264057,bank,,
ICICI BANK ATM,"S9, PN 111/1, Concourse Innovator Bldg Krishnarajapuram Hobli, ITPB, Sadarmangala, Near, Whitefield Main Rd, Bengaluru, Karnataka 560066",nearme.idfcfirstbank.com,1800 10888,12.9861211,77.7001972,bank,,
ICICI BANK ATM,"Survey No- 28, Goodrich Aerospace Epip Industrial Area, Village, Kundalahalli, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9861211,77.7001972,bank,,
CANARA BANK - BENGALURU WHITEFIELD,"Tcs, L Center, Plot No : 78 79 83. Epip, Industrial Area, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9861211,77.7001972,bank,,
ICICI BANK ATM,"SY.NO.107/P2 PATTANDUR AGRAHARA VILLAGE K R PURAM, HOBLI, Whitefield, Bengaluru, Karnataka 560066",canarabank.com,1800 425 0018,12.9861211,77.7001972,bank,,
Axis Bank ATM,"Bus Stop, Prashanthi Shoping Complex No.1 / 2, Near Channasandra, Post, Kadugodi, Bengaluru, Karnataka 560067",icicibank.com,1800 1080,12.9835079,77.7315973,bank,,
ICICI BANK ATM,"SLS SQUARE, No 157 EPIP Phase, Kundalahalli, Whitefield, Bengaluru, Karnataka 560035",branch.axisbank.com,1860 419 5555,12.9733381,77.680229,bank,,
Ujjivan Small Finance Bank ATM,"Manipal Hospital 143, 212 2015 KR Puram Hobli, Off Hoodi Village, EPIP, Industrial Area, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9733381,77.680229,bank,,
Axis Bank ATM,"Ground Floor, Site # 4/1 Pattandur Agrahara, Whitefield Main Rd, Whitefield, Bengaluru, Karnataka 560066",ujjivansfb.in,1800 208 2121,12.98515,77.7045211,bank,,
Axis Bank ATM,"PN 1, Broadridge Financial Solutions EPIP, Industrial Area, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 500 5555,12.98515,77.7045211,bank,,
State Bank of India,"No 33, Ground Floor, Sundari Armadale, Next Femiint hospital, Varthur Rd, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 500 5555,12.98515,77.7045211,bank,,
Yes Bank ATM,"1st Main Rd, Kadugodi, Bengaluru, Karnataka 560067",,1800 425 3800,12.98515,77.7045211,bank,,
ICICI BANK ATM,"Manipal Hospital, ITPL Main Rd, Maruthi Nagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560048",yesbank.in,1800 1200,12.98515,77.7045211,bank,,
Axis Bank ATM,"ICICI Bank Atm, PRESTIGE SHANTINIKETAN, Thigalarapalya, Whitefield, Bengaluru, Karnataka 560048",icicibank.com,1800 1080,12.98515,77.7045211,bank,,
