name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Pandi Nadu Restaurant,"Phase 1, 120, 2nd Floor, Santhosh Towers, A3, Rd Number 3, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",flechazo.in,091089 96431,12.9773081,77.7068501,restaurant,,
Dhurvi Restaurant,"1st floor, Pandi Nadu, 1st floor Of Medplus & Vega Motors, 20, Immadihalli Main Rd, KEB Colony, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",mini.store,091106 30265,12.9683701,77.7385033,restaurant,,
Punjab Grill Whitefield,"5th cross, Whitefield Main Rd, Nallurhalli, Bengaluru, Karnataka 560066",,063667 02617,12.9697223,77.7143718,restaurant,,
"Adithya Restaurant (Andhra Style, Indian, Chinese, Tandoor)","Nexus Shantiniketan Mall, Whitefield Main Rd, Bengaluru, Karnataka 560067",stores.lbf.co.in,084485 81880,12.9895038,77.7101203,restaurant,,
Refresh Whitefield,"610-a, C block, AECS Layout - C Block, AECS Layout, Brookefield, Bengaluru, Karnataka 560037",,,12.9647382,77.6992114,restaurant,,
AV Cafe and Restaurant,"12/3, 5th floor, Whitefield Main Rd, next to Svastha hospital, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",refreshcafewhitefield.com,096864 62426,12.9656664,77.7310864,restaurant,,
Pooja Hotel Restaurant,"Channasandra Main Rd, near MVJ COLLEGE OF ENGINEERING, 3G Homes Crimson Layout, Kadugodi, Bengaluru, Karnataka 560067",,,12.9830565,77.7432813,restaurant,,
Ramdev Sagar Restaurant,"80, Chanasandra, C-112/A, Urban, V S Reddy Colony, Channasandra, Bengaluru, Karnataka 560067",,077957 17476,12.9830565,77.7432813,restaurant,,
Kritunga Restaurant and Take Away,"272, 8th Main Rd, BEML Layout 6th Stage, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",,080 4958 2055,12.9591438,77.7010596,restaurant,,
Amma Restaurant,"Door No 95, First Floor, Broadway Building, EPIP Zone Whitefield Rd, opp. Vaidehi Hospital, Vijayanagar, EPIP Zone, Area, Bengaluru, Karnataka 560066",,076193 33336,12.975708,77.7087746,restaurant,,
MINI TAJ RESTAURANT,"778, 1st Cross Street, 9th Cross Rd, above The Chef Bake, Bengaluru, Karnataka 560048",,072041 40182,12.9911061,77.7028932,restaurant,,
"Collage By Toscano (Italian, Asian & Indian Cuisine)","Jamia Masjid, 66, Whitefield Main Rd, Kadugodi, Bengaluru, Karnataka 560066",,,12.9863207,77.7269025,restaurant,,
"Uruvalu Biryani, Whitefield","2nd Floor, Forum Value Mall, Whitefield Main Rd, Bengaluru, Karnataka 560066",toscano.co.in,076193 20072,12.9599114,77.7294416,restaurant,,
Orbis,"Survey #166, Mann Food Court, AK Gopalan Colony Main Road, Dr Ambedkar Nagar Rd, Whitefield, Bengaluru, Karnataka 560067",mfc.petpooja.com,099161 23871,12.9802218,77.7395235,restaurant,,
Hyderabad Chefs,"147/1, Ozone Entrance Rd, opposite Manipal Hospital, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066",orbisrestaurant.com,096066 28960,12.9581988,77.7287097,restaurant,,
Jubli Biryani & Gunturu Biryanis,"No 95, First Floor, opposite Vydehi Hospital, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",,084949 53333,12.9760305,77.7088391,restaurant,,
Nisarga Restaurant,"53, 1st Cross Rd, Prasanth Layout, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",,070191 39676,12.9838086,77.7309417,restaurant,,
SALT - Indian Restaurant Bar & Grill,"Hoodi, Bengaluru, Karnataka 560048",,090366 80362,12.9921244,77.6982006,restaurant,,
Moriz Restaurant Whitefield,"Nexus, FORUM SHANTINIKETAN MALL, Thigalarapalya, Whitefield, Bengaluru, Karnataka 560067",saltrestaurants.in,,12.9894474,77.7106768,restaurant,,
Eden Xpress Restaurant,"104, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",,097434 43311,12.9664684,77.7313908,restaurant,,
Treat Restaurant Hopefarm,"XPF7+CX8, Green Domain Layout, Phase 2, Brookefield, Bengaluru, Karnataka 560066",,,12.9735277,77.6969323,restaurant,,
Essotto Restaurant,"Zip By Spree Hotels Purple Orchid, near to Hopefarm Signal, inside Maithri Layout, Maithri Layout, Kadugodi, Bengaluru, Karnataka 560067",spreehotels.com,,12.9835498,77.7369818,restaurant,,
Suryawanshi Restaurant,"1st Floor, BMTC Depot Parking, Plot No.120, 18, ITPL Main Rd, opp. Vydehi Hospital, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",essottorestaurant.com,,12.9767972,77.7082233,restaurant,,
The Cafe- Lot Like Crepes,"120 P, 2nd Floor, Santosh Tower, Bus Stand, Rd Number 3, adjacent to EPIP, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",,097380 19048,12.9767972,77.7082233,restaurant,,
M Cafe,"#5 , Avalon, 1st main Road, Whitefield Main Rd, Whitefield, Bengaluru, Karnataka 560066",facebook.com,,12.980775,77.7328937,restaurant,,
Thalassery restaurant,"Plot No 75, 8th Rd, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",marriott.com,,12.9797784,77.7099572,restaurant,,
Nandu Kerala Restaurant,"XPPX+34C, Whitefield Main Rd, Kadugodi Colony, Prasanth Extension, Kadugodi, Bengaluru, Karnataka 560066",,,12.9851947,77.7297544,restaurant,,
KERALA HOME KITCHEN,"Immadihalli Main Rd, opposite SR bakery, near Indira canteen, Byrappa Layout, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",business.site,099867 14845,12.9699344,77.7343967,restaurant,,
Empire Restaurant -Brookfield,"63, SH 35, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.9699344,77.7343967,restaurant,,
Advaita Restaurant - Whitefield,"ASK Tower, ITPL Main Rd, Lakshminarayana Pura, BEML Layout, Brookefield, Bengaluru, Karnataka 560037",hotelempire.in,080 4041 4141,12.9601423,77.6980803,restaurant,,
Orbis Restaurant - Brookefield,"Immadihalli Main Rd, Immadihalli, Whitefield, Bengaluru, Karnataka 560066",,098861 55988,12.9669076,77.743778,restaurant,,
Pure Bites Restaurant,"#519 60ft road AECS Layout Kundanahalli Banglore, Bengaluru, Karnataka 560066",business.site,096063 33364,12.9649338,77.6992372,restaurant,,
Bologna Italian Restaurant - Whitefield,"56/3 shantamma complex, Jr College Rd, Belatur Colony, Kadugodi, Bengaluru, Karnataka 560067",business.site,094550 75466,13.0001768,77.7333143,restaurant,,
Subhalakshmi Restaurant,"No 921,Old no 634/494/1, Belathur Village, Post, Kadugodi, Bengaluru, Karnataka 560067",,096060 17138,13.0001768,77.7333143,restaurant,,
Barbeque Nation- Nexus Whitefield Mall,"No 921,Old no 634/494/1, Belathur Village, Post, Kadugodi, Bengaluru, Karnataka 560067",,096060 17138,13.0001768,77.7333143,restaurant,,
